"Member","Fabric LATEST","Forge 1.12.2","Fabric 1.18.2","Forge 1.18.2"
"org.waveapi.api.content.items.block.MinecraftBlocks.POLISHED_DEEPSLATE_SLAB -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POLISHED_DEEPSLATE_WALL -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_TILES -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_TILE_STAIRS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_TILE_SLAB -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_TILE_WALL -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_BRICKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_BRICK_STAIRS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_BRICK_SLAB -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.DEEPSLATE_BRICK_WALL -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.CHISELED_DEEPSLATE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.CRACKED_DEEPSLATE_BRICKS -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.CRACKED_DEEPSLATE_TILES -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.INFESTED_DEEPSLATE -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.SMOOTH_BASALT -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.RAW_IRON_BLOCK -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.RAW_COPPER_BLOCK -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.RAW_GOLD_BLOCK -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POTTED_AZALEA_BUSH -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.items.block.MinecraftBlocks.POTTED_FLOWERING_AZALEA_BUSH -> org.waveapi.api.content.items.block.WaveBlock","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType:ctor(java.lang.String, java.lang.Class, org.waveapi.api.world.entity.EntityGroup, org.waveapi.api.content.entities.EntityBox, org.waveapi.api.WaveMod)","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType:ctor(java.lang.String, java.lang.Class, org.waveapi.api.content.entities.EntityBox, org.waveapi.api.WaveMod)","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType:ctor(java.lang.String, java.lang.Class, org.waveapi.api.WaveMod)","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType#getId() -> java.lang.String","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType#getMod() -> org.waveapi.api.WaveMod","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType#setMaxTrackingRange(int) -> void","✅","❌","✅","❌"
"org.waveapi.api.content.entities.WaveEntityType#getEntityRenderer() -> org.waveapi.api.content.entities.renderer.WaveEntityRenderer","✅","❌","✅","❌"
"org.waveapi.api.content.entities.EntityCreation.create(org.waveapi.api.content.entities.WaveEntityType, org.waveapi.api.world.world.World) -> org.waveapi.api.content.entities.T","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos:ctor(int, int, int)","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos:ctor(org.waveapi.api.math.Vector3)","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#getX() -> int","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#getY() -> int","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#getZ() -> int","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#setX(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#setY(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#setZ(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#addX(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#addY(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#addZ(int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#add(int, int, int) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#add(org.waveapi.api.math.BlockPos) -> org.waveapi.api.math.BlockPos","✅","❌","✅","❌"
"org.waveapi.api.math.BlockPos#toVector3() -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.math.Vector3#withX(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.math.Vector3#withY(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.math.Vector3#withZ(double) -> org.waveapi.api.math.Vector3","✅","❌","✅","❌"
"org.waveapi.api.events.Events#register(java.lang.Class) -> void","✅","❌","✅","❌"
"org.waveapi.api.events.Events#register(java.lang.Object) -> void","✅","❌","✅","❌"
"org.waveapi.api.events.event.message.ClientChatMessageEvent#getText() -> org.waveapi.api.misc.Text","✅","❌","✅","❌"
"org.waveapi.api.events.event.Cancellable#isCancelled() -> boolean","✅","❌","✅","❌"
"org.waveapi.api.events.event.Cancellable#setCancelled(boolean) -> boolean","✅","❌","✅","❌"
"org.waveapi.api.misc.TranslatedText:ctor(java.lang.String, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.misc.TranslatedText#addTranslation(java.lang.String, java.lang.String) -> org.waveapi.api.misc.TranslatedText","❌","❌","✅","❌"
"org.waveapi.api.misc.TranslatedText#withValues(java.lang.Object) -> org.waveapi.api.misc.Text","❌","❌","✅","❌"
"org.waveapi.api.file.texture.Texture:ctor(java.lang.String)","❌","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#sendMessage(org.waveapi.api.misc.Text) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#sendActionBar(org.waveapi.api.misc.Text) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.entity.living.EntityPlayer#getLookVector() -> org.waveapi.api.math.Vector3","❌","❌","✅","❌"
"org.waveapi.api.world.world.World#getTileEntity(org.waveapi.api.math.BlockPos, java.lang.Class) -> org.waveapi.api.world.world.T","❌","❌","✅","❌"
"org.waveapi.api.world.world.World#breakBlock(org.waveapi.api.math.BlockPos, boolean) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.world.World#breakBlock(org.waveapi.api.math.BlockPos, boolean, org.waveapi.api.world.entity.EntityBase) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.world.World#dropItem(org.waveapi.api.math.Vector3, org.waveapi.api.world.inventory.ItemStack) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.inventory.ItemStack#getMaxAmount() -> int","❌","❌","✅","❌"
"org.waveapi.api.world.inventory.ItemStack#isOfTag(org.waveapi.api.content.tags.Tag) -> boolean","❌","❌","✅","❌"
"org.waveapi.api.world.inventory.ItemStack#getItem() -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.world.inventory.ItemStack#damage(int, org.waveapi.api.world.entity.living.EntityPlayer) -> void","❌","❌","✅","❌"
"org.waveapi.api.world.inventory.ItemStack#is(org.waveapi.api.content.items.WaveItem) -> boolean","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.BUTTON -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.LOG -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.PLANKS -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.SAND -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.SLAB -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.STAIR -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.WOOL -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.DIRT -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.FISH -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.LEAVES -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.SMALL_FLOWER -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.SAPLING -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.INGOT -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.COBBLESTONE -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags.GEM -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags#ingotCommon(java.lang.String) -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags#ingotModSpecific(java.lang.String, org.waveapi.api.WaveMod) -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags#otherCommon(java.lang.String) -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.tags.Tags#otherModSpecific(java.lang.String, org.waveapi.api.WaveMod) -> org.waveapi.api.content.tags.Tag","❌","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveAxeItem:ctor(java.lang.String, org.waveapi.api.content.items.tools.WaveToolMaterial, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveHoeItem:ctor(java.lang.String, org.waveapi.api.content.items.tools.WaveToolMaterial, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveShovelItem:ctor(java.lang.String, org.waveapi.api.content.items.tools.WaveToolMaterial, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.content.items.tools.WaveSwordItem:ctor(java.lang.String, org.waveapi.api.content.items.tools.WaveToolMaterial, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.content.items.tools.WavePickaxeItem:ctor(java.lang.String, org.waveapi.api.content.items.tools.WaveToolMaterial, org.waveapi.api.WaveMod)","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.AIR -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.STONE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.GRANITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.POLISHED_GRANITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DIORITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.POLISHED_DIORITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ANDESITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.POLISHED_ANDESITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COBBLED_DEEPSLATE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.POLISHED_DEEPSLATE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CALCITE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.TUFF -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DRIPSTONE_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.GRASS_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DIRT -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COARSE_DIRT -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.PODZOL -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ROOTED_DIRT -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.MUD -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CRIMSON_NYLIUM -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WARPED_NYLIUM -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COBBLESTONE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OAK_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.SPRUCE_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BIRCH_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.JUNGLE_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ACACIA_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CHERRY_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DARK_OAK_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.MANGROVE_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BAMBOO_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CRIMSON_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WARPED_PLANKS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BAMBOO_MOSAIC -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OAK_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.SPRUCE_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BIRCH_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.JUNGLE_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ACACIA_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CHERRY_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DARK_OAK_SAPLING -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.MANGROVE_PROPAGULE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BEDROCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.SAND -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.SUSPICIOUS_SAND -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.RED_SAND -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.GRAVEL -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COAL_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_COAL_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.IRON_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_IRON_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COPPER_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_COPPER_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.GOLD_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_GOLD_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.REDSTONE_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_REDSTONE_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.EMERALD_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_EMERALD_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.LAPIS_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_LAPIS_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DIAMOND_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DEEPSLATE_DIAMOND_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.NETHER_GOLD_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.NETHER_QUARTZ_ORE -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ANCIENT_DEBRIS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COAL_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.RAW_IRON_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.RAW_COPPER_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.RAW_GOLD_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.AMETHYST_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BUDDING_AMETHYST -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.IRON_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.COPPER_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.GOLD_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DIAMOND_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.NETHERITE_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.EXPOSED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WEATHERED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OXIDIZED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.EXPOSED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WEATHERED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OXIDIZED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.EXPOSED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WEATHERED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OXIDIZED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.EXPOSED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WEATHERED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OXIDIZED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_COPPER_BLOCK -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_EXPOSED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_WEATHERED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_OXIDIZED_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_EXPOSED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_WEATHERED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_OXIDIZED_CUT_COPPER -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_EXPOSED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_WEATHERED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_OXIDIZED_CUT_COPPER_STAIRS -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_EXPOSED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_WEATHERED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.WAXED_OXIDIZED_CUT_COPPER_SLAB -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.OAK_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.SPRUCE_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.BIRCH_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.JUNGLE_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.ACACIA_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.CHERRY_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
"org.waveapi.api.content.items.MinecraftItems.DARK_OAK_LOG -> org.waveapi.api.content.items.WaveItem","❌","❌","✅","❌"
